"ID";"Werkzaamheden";"Opdrachtgever";"Perioden";"TotaalAantalVerleendeBouwvergunningen_2";"AantalBouwvergunningenWoningbouw_4";"AantalBouwvergunningenUtiliteitsbouw_6"
"251";"0";"0";"2004MM11";"    3023";"    1932";"    1091"
"252";"0";"0";"2004MM12";"    4350";"    2749";"    1601"
"255";"0";"0";"2005MM01";"    2048";"    1293";"     755"
"256";"0";"0";"2005MM02";"    1927";"    1204";"     723"
"257";"0";"0";"2005MM03";"    2369";"    1469";"     900"
"259";"0";"0";"2005MM04";"    2295";"    1447";"     848"
"260";"0";"0";"2005MM05";"    2535";"    1557";"     978"
"261";"0";"0";"2005MM06";"    3003";"    1853";"    1150"
"263";"0";"0";"2005MM07";"    2489";"    1546";"     943"
"264";"0";"0";"2005MM08";"    2436";"    1565";"     871"
"265";"0";"0";"2005MM09";"    2536";"    1579";"     957"
"267";"0";"0";"2005MM10";"    3124";"    1975";"    1149"
"268";"0";"0";"2005MM11";"    3266";"    2030";"    1236"
"269";"0";"0";"2005MM12";"    3168";"    2014";"    1154"
"272";"0";"0";"2006MM01";"    2205";"    1439";"     766"
"273";"0";"0";"2006MM02";"    2335";"    1488";"     847"
"274";"0";"0";"2006MM03";"    3158";"    2112";"    1046"
"276";"0";"0";"2006MM04";"    2534";"    1631";"     903"
"277";"0";"0";"2006MM05";"    2459";"    1589";"     870"
"278";"0";"0";"2006MM06";"    3131";"    1959";"    1172"
"280";"0";"0";"2006MM07";"    2575";"    1582";"     993"
"281";"0";"0";"2006MM08";"    2671";"    1662";"    1009"
"282";"0";"0";"2006MM09";"    3398";"    2071";"    1327"
"284";"0";"0";"2006MM10";"    2320";"    1398";"     922"
"285";"0";"0";"2006MM11";"    2889";"    1835";"    1054"
"286";"0";"0";"2006MM12";"    3830";"    2414";"    1416"
"289";"0";"0";"2007MM01";"    2311";"    1402";"     909"
"290";"0";"0";"2007MM02";"    2037";"    1273";"     764"
"291";"0";"0";"2007MM03";"    3020";"    1862";"    1158"
"293";"0";"0";"2007MM04";"    2538";"    1570";"     968"
"294";"0";"0";"2007MM05";"    2459";"    1466";"     993"
"295";"0";"0";"2007MM06";"    3254";"    1972";"    1282"
"297";"0";"0";"2007MM07";"    3197";"    1941";"    1256"
"298";"0";"0";"2007MM08";"    3039";"    1870";"    1169"
"299";"0";"0";"2007MM09";"    3665";"    2203";"    1462"
"301";"0";"0";"2007MM10";"    2841";"    1716";"    1125"
