"buildpermits","faillisementen","dax","cac40","ftse","sp500","fin_stress","GAS_EU","OIL_BRENT","GOLD","Short_interest","Long_interest"
"111","265","-0.0271169453603086","-0.0427637735947819","-0.0389336720725009","0.000195808093953254","0.1672","-0.14","10.68","17.02","-0.0538000000000001","3.956"
"446","-102","0.103338355883546","0.0871093130361391","0.0811499281025831","0.0715219493430146","0.1925","-1.28","-3.71000000000001","-11.4399999999999","-0.2529","3.764"
"-831","-146","0.0245400465619703","0.0642243595286836","0.0631691602362707","0.0330093363428547","0.1251","0.25","7.59","15.15","-0.1145","3.609"
"746","132","0.0378060534997147","0.0380958474473552","0.0448157210204236","0.0351000673677468","0.1143","0.21","-4.81","47.21","-0.0884","3.58"
"-307","-72","-0.0469332979557109","-0.0507247567390845","-0.0175472016489238","-0.0199598801971197","0.1325","0.47","5.5","46.5700000000001","-0.0346","3.533"
"-154","36","0.0382243710449348","0.0198858236126647","0.0285502168709488","0.0557790765867372","0.0938","0.21","3.85000000000001","83.8799999999999","-0.0213000000000001","3.52"
"931","-35","0.0572493521895172","0.0672953513639811","0.0419163750892757","0.0176145203502998","0.1272","0.2","-2.37","7.68000000000006","-0.00419999999999998","3.438"
"-1509","-47","-0.0603041926197427","-0.0513076314084664","-0.0423403374956379","-0.0376751237121944","0.088","0.790000000000001","1.7","-16.76","-0.0323","3.467"
"-32","22","-0.00184346399436919","-0.00823281817075205","0.0314926907955968","0.0281147397418406","0.1149","0","-2.06","-22.55","-0.018","3.356"
"496","185","0.0945375664098069","0.0690672756240076","0.0589434960534856","0.0571328154163924","0.1512","0.129999999999999","4.95999999999999","17.9299999999998","-0.0166999999999999","3.368"
"-212","-218","-0.00290491650052793","-0.0403135117178568","-0.0224885144311955","0.0146513730069184","0.1851","-1.41","5.71000000000001","35.3500000000001","-0.000299999999999967","3.321"
"67","-175","-0.0283274624233147","-0.0845414954112904","-0.0679669648187371","-0.0855315728834904","0.5488","-0.25","-8.73","56.74","0.0417999999999999","3.018"
"401","387","0.000199489850110979","-0.0186094519842985","-0.0537471149049313","-0.0553884494055037","0.4811","0.470000000000001","-1.41","27.49","0.0411","2.899"
"431","-255","0.0301257507081392","0.056534713897566","0.0670724955502759","0.0665157990108565","0.2658","0.299999999999999","-0.100000000000009","-39.95","0.1212","2.853"
"-673","65","-0.0369041275805593","-0.0427178349809267","-0.00625761429846783","-0.0486118228874188","0.2172","0.41","1.95","22.8399999999999","0.0467","2.558"
"39","-94","0.0500011668467568","0.0622990281110756","0.0600525492760777","0.083928474188034","0.2818","-0.17","1.10000000000001","55.1700000000001","-0.015","2.524"
"-248","60","0.0580582007068031","0.031351113103419","0.0225601781670068","0.0361930517504909","0.1486","0.00999999999999979","5.13","71.04","0.1172","2.577"
"1300","104","0.0131109526616413","-0.059948591784222","-0.0262255206139255","-0.00229287637972408","0.1381","0.300000000000001","2.75","27.8700000000001","0.0443","2.785"
"-843","-223","0.0331876394287516","0.0524285463718286","0.0650550662249234","0.0632564875089985","0.0928","0.15","6.13","20.6599999999999","-0.0203","3.155"
"-628","79","0.0233420962543978","0.0514102380686161","-0.00629103999794722","0.0223929698124117","0.05","0.869999999999999","4.49000000000001","-30.0899999999999","-0.00449999999999995","3.228"
"34","58","0.027157426788623","0.0258397902024612","0.0221146238291148","0.0314565767628245","0.0688","-0.25","7.66999999999999","14.22","0.0694999999999999","3.408"
"421","100","-0.0322810953222188","-0.0299225279251463","-0.0143162368328227","-0.00104786175458393","0.1297","0.00999999999999979","10.48","48.5799999999999","0.0888","3.423"
"-297","-188","0.0650349183618548","0.0290876579036219","0.0268993823208632","0.0280969387702452","0.0831","0.99","8.63","57.6300000000001","0.1457","3.647"
"-249","197","-0.0298195764371023","-0.0246454938323826","-0.0132507022551547","-0.0135929194552835","0.0756","-0.0599999999999987","-8.61","31.6899999999998","0.1039","3.403"
"228","-219","0.0112544727007489","-0.00619091124577409","-0.0074231100617137","-0.0184261859119328","0.1073","-0.0400000000000009","-0.699999999999989","16.78","0.0634999999999999","3.283"
"77","29","-0.029925874109745","-0.0808907805659036","-0.0221930892908073","-0.0217083558566635","0.0711","0.73","2.69999999999999","43.3900000000001","0.109","3.172"
