"ID";"TypeGefailleerde";"Perioden";"UitgesprokenFaillissementen_1"
"597";"T001243";"2016MM03";"     635"
"599";"T001243";"2016MM04";"     498"
"600";"T001243";"2016MM05";"     531"
"601";"T001243";"2016MM06";"     496"
"603";"T001243";"2016MM07";"     466"
"604";"T001243";"2016MM08";"     456"
"605";"T001243";"2016MM09";"     392"
"607";"T001243";"2016MM10";"     392"
"608";"T001243";"2016MM11";"     587"
"609";"T001243";"2016MM12";"     410"
"612";"T001243";"2017MM01";"     511"
"613";"T001243";"2017MM02";"     386"
"614";"T001243";"2017MM03";"     413"
"616";"T001243";"2017MM04";"     363"
"617";"T001243";"2017MM05";"     457"
"618";"T001243";"2017MM06";"     381"
"620";"T001243";"2017MM07";"     346"
"621";"T001243";"2017MM08";"     385"
"622";"T001243";"2017MM09";"     336"
"624";"T001243";"2017MM10";"     408"
"625";"T001243";"2017MM11";"     344"
"626";"T001243";"2017MM12";"     290"
"629";"T001243";"2018MM01";"     423"
"630";"T001243";"2018MM02";"     302"
"631";"T001243";"2018MM03";"     361"
"633";"T001243";"2018MM04";"     336"
"634";"T001243";"2018MM05";"     391"
"635";"T001243";"2018MM06";"     324"
"637";"T001243";"2018MM07";"     371"
"638";"T001243";"2018MM08";"     331"
"639";"T001243";"2018MM09";"     310"
"641";"T001243";"2018MM10";"     400"
"642";"T001243";"2018MM11";"     350"
"643";"T001243";"2018MM12";"     327"
"646";"T001243";"2019MM01";"     392"
"647";"T001243";"2019MM02";"     345"
"648";"T001243";"2019MM03";"     357"
"650";"T001243";"2019MM04";"     419"
"651";"T001243";"2019MM05";"     326"
"652";"T001243";"2019MM06";"     344"
"654";"T001243";"2019MM07";"     410"
"655";"T001243";"2019MM08";"     330"
"656";"T001243";"2019MM09";"     342"
"658";"T001243";"2019MM10";"     393"
"659";"T001243";"2019MM11";"     366"
"660";"T001243";"2019MM12";"     354"
"663";"T001243";"2020MM01";"     345"
"664";"T001243";"2020MM02";"     373"
"665";"T001243";"2020MM03";"     365"
"667";"T001243";"2020MM04";"     397"
"668";"T001243";"2020MM05";"     364"
"669";"T001243";"2020MM06";"     350"
"671";"T001243";"2020MM07";"     253"
"672";"T001243";"2020MM08";"     211"
"673";"T001243";"2020MM09";"     291"
"675";"T001243";"2020MM10";"     222"
"676";"T001243";"2020MM11";"     232"
"677";"T001243";"2020MM12";"     229"
"680";"T001243";"2021MM01";"     197"
"681";"T001243";"2021MM02";"     162"
"682";"T001243";"2021MM03";"     223"
"684";"T001243";"2021MM04";"     182"
"685";"T001243";"2021MM05";"     176"
"686";"T001243";"2021MM06";"     185"
"688";"T001243";"2021MM07";"     143"
"689";"T001243";"2021MM08";"     151"
"690";"T001243";"2021MM09";"     162"
"692";"T001243";"2021MM10";"     144"
"693";"T001243";"2021MM11";"     234"
"694";"T001243";"2021MM12";"     170"
"697";"T001243";"2022MM01";"     143"
"698";"T001243";"2022MM02";"     194"
"699";"T001243";"2022MM03";"     207"
"701";"T001243";"2022MM04";"     132"
"702";"T001243";"2022MM05";"     241"
"703";"T001243";"2022MM06";"     168"
"705";"T001243";"2022MM07";"     162"
"706";"T001243";"2022MM08";"     195"
"707";"T001243";"2022MM09";"     181"
"709";"T001243";"2022MM10";"     242"
"710";"T001243";"2022MM11";"     299"
"711";"T001243";"2022MM12";"     268"
"714";"T001243";"2023MM01";"     282"
"715";"A041718";"1981MM01";"      80"
"716";"A041718";"1981MM02";"      80"
"717";"A041718";"1981MM03";"      93"
"719";"A041718";"1981MM04";"     118"
"720";"A041718";"1981MM05";"      89"
"721";"A041718";"1981MM06";"      93"
"723";"A041718";"1981MM07";"      98"
"724";"A041718";"1981MM08";"      83"
"725";"A041718";"1981MM09";"     117"
"727";"A041718";"1981MM10";"     122"
"728";"A041718";"1981MM11";"     116"
"729";"A041718";"1981MM12";"     120"
"732";"A041718";"1982MM01";"     106"
"733";"A041718";"1982MM02";"     123"
"734";"A041718";"1982MM03";"     148"
"736";"A041718";"1982MM04";"     103"
"737";"A041718";"1982MM05";"      89"
"738";"A041718";"1982MM06";"     111"
"740";"A041718";"1982MM07";"     123"
"741";"A041718";"1982MM08";"     124"
"742";"A041718";"1982MM09";"     148"
"744";"A041718";"1982MM10";"     116"
"745";"A041718";"1982MM11";"     117"
"746";"A041718";"1982MM12";"     147"
"749";"A041718";"1983MM01";"     133"
"750";"A041718";"1983MM02";"     106"
"751";"A041718";"1983MM03";"     143"
"753";"A041718";"1983MM04";"     124"
