"ID";"AardWerkzaamheden";"Gebouwbestemming";"Perioden";"Bouwkosten_1";"Bouwvergunningen_2";"Bouwkosten_3";"Bouwvergunningen_4"
"144";"T001212";"A007232";"2013MM01";"     314";"     760";"    63.7";"    86.2"
"145";"T001212";"A007232";"2013MM02";"     413";"     807";"    83.8";"    91.5"
"146";"T001212";"A007232";"2013MM03";"     285";"     721";"    57.8";"    81.9"
"147";"T001212";"A007232";"2013MM04";"     405";"     769";"    82.1";"    87.2"
"148";"T001212";"A007232";"2013MM05";"     425";"     842";"    86.2";"    95.5"
"149";"T001212";"A007232";"2013MM06";"     291";"     691";"    59.1";"    78.4"
"150";"T001212";"A007232";"2013MM07";"     361";"     885";"    73.2";"   100.4"
"151";"T001212";"A007232";"2013MM08";"     296";"     706";"    60.1";"    80.2"
"152";"T001212";"A007232";"2013MM09";"     321";"     754";"    65.2";"    85.6"
"153";"T001212";"A007232";"2013MM10";"     475";"     907";"    96.4";"   102.9"
"154";"T001212";"A007232";"2013MM11";"     459";"     774";"    93.2";"    87.9"
"155";"T001212";"A007232";"2013MM12";"     351";"     704";"    71.3";"    79.9"
"156";"T001212";"A007232";"2014MM01";"     410";"     772";"    83.2";"    87.6"
"157";"T001212";"A007232";"2014MM02";"     408";"     829";"    82.9";"    94.1"
"158";"T001212";"A007232";"2014MM03";"     449";"     930";"    91.0";"   105.5"
"159";"T001212";"A007232";"2014MM04";"     418";"     904";"    84.8";"   102.5"
"160";"T001212";"A007232";"2014MM05";"     433";"     900";"    87.9";"   102.1"
"161";"T001212";"A007232";"2014MM06";"     465";"     974";"    94.3";"   110.6"
"162";"T001212";"A007232";"2014MM07";"     601";"    1156";"   121.8";"   131.1"
"163";"T001212";"A007232";"2014MM08";"     413";"     805";"    83.7";"    91.4"
"164";"T001212";"A007232";"2014MM09";"     661";"    1061";"   134.0";"   120.5"
"165";"T001212";"A007232";"2014MM10";"     589";"    1002";"   119.4";"   113.8"
"166";"T001212";"A007232";"2014MM11";"     543";"     910";"   110.2";"   103.2"
"167";"T001212";"A007232";"2014MM12";"     644";"    1031";"   130.6";"   117.0"
"168";"T001212";"A007232";"2015MM01";"     554";"    1148";"   112.4";"   130.3"
"169";"T001212";"A007232";"2015MM02";"     932";"    1581";"   189.0";"   179.5"
"170";"T001212";"A007232";"2015MM03";"     938";"    1484";"   190.3";"   168.4"
"171";"T001212";"A007232";"2015MM04";"     911";"    1176";"   184.8";"   133.4"
"172";"T001212";"A007232";"2015MM05";"     627";"     948";"   127.3";"   107.6"
"173";"T001212";"A007232";"2015MM06";"     591";"    1072";"   119.8";"   121.7"
"174";"T001212";"A007232";"2015MM07";"     604";"    1080";"   122.5";"   122.6"
"175";"T001212";"A007232";"2015MM08";"     410";"     841";"    83.2";"    95.4"
"176";"T001212";"A007232";"2015MM09";"     605";"    1155";"   122.7";"   131.0"
"177";"T001212";"A007232";"2015MM10";"     563";"    1018";"   114.2";"   115.5"
"178";"T001212";"A007232";"2015MM11";"     497";"    1006";"   100.9";"   114.1"
"179";"T001212";"A007232";"2015MM12";"     628";"    1167";"   127.3";"   132.5"
"180";"T001212";"A007232";"2016MM01";"     515";"    1046";"   104.6";"   118.7"
